time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1718111576535652400,1.24065234375,0,0.4344049394130707,4.38052225112915,4.431000232696533,0,0,825.1000366210938,77.7247449,13.1771549
1718111578469688000,3.17468798828125,45,0.07058755308389664,1.126707911491394,4.077000141143799,1.539690375328064,189.4910125732422,825.1000366210938,77.7247442,13.1771035
1718111579469418000,4.17441796875,45,0.9912046790122986,1.1367052793502808,4.005000114440918,1.6164917945861816,203.55125427246094,825.1000366210938,77.7247358,13.1770904
1718111580469639400,5.174639404296875,45,0.07049034535884857,1.1467074155807495,3.9839999675750732,0.9700267314910889,224.4349822998047,825.1000366210938,77.7247293,13.1770888
1718111581469724000,6.174723876953125,45,1.0007621049880981,1.1019881963729858,3.9700000286102295,0.6168004274368286,242.68365478515625,825.1000366210938,77.7247251,13.1770887
1718111582469116400,7.174116455078125,94.61515045166016,0.9961770176887512,1.1119821071624756,3.88100004196167,0.17824199795722961,28.584712982177734,825.1000366210938,77.7247207,13.1770911
1718111583469115600,8.17411572265625,45,0.07087228447198868,1.1219820976257324,3.88100004196167,0.17490893602371216,28.30669403076172,825.1000366210938,77.7247174,13.1770909
1718111584469759000,9.174759033203125,45,0.14152443408966064,1.131988525390625,4.339000225067139,0.12032898515462875,313.49609375,825.1000366210938,77.7247265,13.1770898
1718111585469530000,10.174530029296875,45,0.12351574748754501,1.1419862508773804,4.364999771118164,0.1048307940363884,336.2338562011719,825.1000366210938,77.7247263,13.1770889
1718111586469120000,11.1741201171875,45,0.14012561738491058,1.1519821882247925,4.446000099182129,0.12604355812072754,344.1477966308594,825.1000366210938,77.7247252,13.1770879
1718111587469224000,12.174223876953125,45,0.14623862504959106,1.2605904340744019,4.584000110626221,0.13103871047496796,338.6933288574219,825.1000366210938,77.7247194,13.1770897
1718111588469894700,13.174894775390625,45,0.13272076845169067,1.2705971002578735,4.645999908447266,0.11231045424938202,342.4140625,825.1000366210938,77.7247179,13.1770892
1718111589468924200,14.173924072265624,0,0.12317989766597748,1.2805874347686768,4.511000156402588,0.09673025459051132,0,825.1000366210938,77.7247171,13.1770877
1718111590469852000,15.174851806640625,45,0.14656658470630646,1.2905967235565186,4.4710001945495605,0.1316082924604416,345.8304748535156,825.1000366210938,77.7247151,13.1770866
1718111591469860900,16.17486083984375,45,0.19686907529830933,1.3004868030548096,4.448999881744385,0.2516213655471802,331.8036193847656,825.1000366210938,77.7247122,13.177084
1718111592471318500,17.176318603515625,45,0.1785169243812561,1.3104798793792725,4.494999885559082,0.1688997447490692,356.2047119140625,825.1000366210938,77.7247108,13.1770842
1718111593471487200,18.1764873046875,45,0.2627466917037964,1.3104798793792725,4.585000038146973,0.33842459321022034,309.6102600097656,825.1000366210938,77.724707,13.177081
1718111594463119600,19.16811962890625,45,0.36982372403144836,1.3204865455627441,4.889999866485596,2.3076701164245605,227.6942138671875,825.1000366210938,77.7246584,13.1770403
1718111595469536300,20.174536376953125,45,0.06477857381105423,1.340483546257019,5.3470001220703125,0.8167651891708374,213.33094787597656,825.1000366210938,77.7246378,13.1770134
1718111596482620400,21.187620361328126,45,0.20093593001365662,1.340483546257019,5.939000129699707,0.7999157309532166,213.0096893310547,825.1000366210938,77.7246334,13.1770064
1718111597469622000,22.1746220703125,45,0.16362904012203217,1.3604843616485596,6.322000026702881,0.19261731207370758,30.32611656188965,825.1000366210938,77.7246353,13.1770113
1718111598469085200,23.174085205078125,45,0.1299009919166565,1.3704789876937866,5.881999969482422,0.1188005656003952,45.86656188964844,825.1000366210938,77.7246386,13.1770138
1718111599468880100,24.173880126953126,45,0.13350868225097656,2.020282506942749,5.145999908447266,0.11750579625368118,28.729076385498047,825.1000366210938,77.7246397,13.1770194
1718111600455687700,25.160687744140624,45,0.14899280667304993,2.020282506942749,4.7270002365112305,0.11661052703857422,26.014968872070312,825.1000366210938,77.7246407,13.1770206
1718111601469273300,26.1742734375,0,0.10439514368772507,2.0402863025665283,4.11899995803833,0.079201839864254,0,825.1000366210938,77.7246416,13.1770205
1718111602469150500,27.174150390625,0,0.11264973133802414,2.0502851009368896,3.75600004196167,0.08619523793458939,0,825.1000366210938,77.7246416,13.1770204
1718111603493612000,28.198612060546875,45,0.13127237558364868,2.5314435958862305,3.6059999465942383,0.1095249131321907,7.156862735748291,827.1000366210938,77.7246419,13.1770219
1718111604469672000,29.174671875,0,0.11818613857030869,2.5514488220214844,3.627000093460083,0.08129283040761948,0,827.1000366210938,77.7246431,13.177022
1718111605469318000,30.17431787109375,0,0.10575288534164429,2.5614452362060547,3.618000030517578,0.08287126570940018,0,827.1000366210938,77.7246435,13.1770215
1718111606469811500,31.1748115234375,0,0.11957193166017532,2.5714502334594727,3.6389999389648438,0.09594450891017914,0,827.1000366210938,77.7246434,13.1770209
1718111607480714500,32.185714599609376,45,0.14523789286613464,2.5814502239227295,3.680000066757202,0.1240464299917221,8.567090034484863,827.1000366210938,77.7246438,13.1770216
1718111608469226000,33.17422607421875,45,0.19884297251701355,2.5814502239227295,4.196000099182129,3.2611443996429443,220.32765197753906,827.1000366210938,77.7246051,13.1769741
1718111609469830700,34.17483056640625,45,0.05311545357108116,2.6014504432678223,5.158999919891357,1.7030384540557861,218.14706420898438,827.1000366210938,77.7245865,13.1769475
1718111610469668900,35.1746689453125,45,0.05656063184142113,2.6114487648010254,5.758999824523926,1.4140437841415405,217.19564819335938,827.1000366210938,77.7245751,13.1769356
